Sampled_PSU;Pik;Size_Stratum;STRATUM;PSU_ID;PSU_MOS;PSU_MOS.1;ALLOC;threshold;final_populationdom;sampling_fraction;SR;SizeSR;stratum;N_PSU_Stratum;PSU_final_sample_unit;nSR
0;0.195703098855498;14941;11000;77;2924;2924;641;16060.8424336973;205900;0.00311316172899466;0;0;110009;5;0;0
0;0.0332830358846281;57657;12000;54;1919;1919;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0325372461279636;57657;12000;10;1876;1876;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0306814437102173;57657;12000;84;1769;1769;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0303865965971174;57657;12000;58;1752;1752;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.030282532910141;57657;12000;90;1746;1746;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0301437813275058;57657;12000;55;1738;1738;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.029640806840453;57657;12000;112;1709;1709;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0295887749969648;57657;12000;97;1706;1706;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0288429852403004;57657;12000;66;1663;1663;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0277676604748773;57657;12000;94;1601;1601;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0276289088922421;57657;12000;92;1593;1593;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0269351509790659;57657;12000;81;1553;1553;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.02681374334426;57657;12000;1;1546;1546;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0267617115007718;57657;12000;35;1543;1543;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0261199854310838;57657;12000;7;1506;1506;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0260159217441074;57657;12000;50;1500;1500;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0257731064744957;57657;12000;53;1486;1486;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0251660683004666;57657;12000;83;1451;1451;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0242641830133375;57657;12000;63;1399;1399;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0239346480045788;57657;12000;111;1380;1380;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0237958964219436;57657;12000;44;1372;1372;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0236224569436495;57657;12000;20;1362;1362;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0232755779870614;57657;12000;87;1342;1342;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0214371195171445;57657;12000;26;1236;1236;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0212810239866798;57657;12000;115;1227;1227;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0206739858126507;57657;12000;73;1192;1192;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0202750750125744;57657;12000;89;1169;1169;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0199628839516451;57657;12000;45;1151;1151;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0190436547166866;57657;12000;75;1098;1098;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0180897375860693;57657;12000;93;1043;1043;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.016233935168323;57657;12000;2;936;936;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.016233935168323;57657;12000;100;936;936;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.015592209098635;57657;12000;103;899;899;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.015332049881194;57657;12000;98;884;884;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
1;0.0148811072376294;57657;12000;101;858;858;2;1441425;57657;0.0000346878956588099;0;0;120001;50;2;1
0;0.0148464193419706;57657;12000;110;856;856;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0143261009070885;57657;12000;32;826;826;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0140832856374768;57657;12000;36;812;812;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0137017187852299;57657;12000;49;790;790;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0124529545415127;57657;12000;116;718;718;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0117591966283365;57657;12000;5;678;678;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0110827826629897;57657;12000;64;639;639;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0106491839672546;57657;12000;9;614;614;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.00997277000190783;57657;12000;25;575;575;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0095044834105139;57657;12000;68;548;548;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.00636522885339161;57657;12000;3;367;367;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0063305409577328;57657;12000;14;365;365;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.0056367830445566;57657;12000;43;325;325;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.00411051563556897;57657;12000;69;237;237;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
0;0.00287909533968122;57657;12000;65;166;166;2;1441425;57657;0.0000346878956588099;0;0;120001;50;0;0
1;1;102933;13000;259;102933;102933;387;13298.8372093023;102933;0.00375972720118912;1;102933;130001;1;387;0
1;1;34430;14000;228;34430;34430;397;10577.2040302267;83983;0.00472714716073491;1;34430;140001;1;163;0
1;1;18866;14000;214;18866;18866;397;10577.2040302267;83983;0.00472714716073491;1;18866;140002;1;89;0
1;1;15642;14000;121;15642;15642;397;10577.2040302267;83983;0.00472714716073491;1;15642;140003;1;74;0
1;1;15045;14000;221;15045;15045;397;10577.2040302267;83983;0.00472714716073491;1;15045;140004;1;71;0
1;1;8746;15000;201;8746;8746;988;9432.69230769231;186390;0.00530071355759429;1;0;150001;1;46;0
1;1;8014;15000;117;8014;8014;988;9432.69230769231;186390;0.00530071355759429;1;0;150002;1;42;0
1;1;7975;15000;186;7975;7975;988;9432.69230769231;186390;0.00530071355759429;1;0;150003;1;42;0
1;1;7004;15000;187;7004;7004;988;9432.69230769231;186390;0.00530071355759429;1;0;150004;1;37;0
1;0.50915627457589;8901;15000;289;4532;4532;988;9432.69230769231;186390;0.00530071355759429;0;0;1500010;2;47;1
0;0.49084372542411;8901;15000;170;4369;4369;988;9432.69230769231;186390;0.00530071355759429;0;0;1500010;2;0;0
1;0.50587258275003;8429;15000;246;4264;4264;988;9432.69230769231;186390;0.00530071355759429;0;0;1500011;2;45;1
0;0.49412741724997;8429;15000;218;4165;4165;988;9432.69230769231;186390;0.00530071355759429;0;0;1500011;2;0;0
1;0.336232403837533;11153;15000;122;3750;3750;988;9432.69230769231;186390;0.00530071355759429;0;0;1500012;3;59;1
0;0.335784093965749;11153;15000;153;3745;3745;988;9432.69230769231;186390;0.00530071355759429;0;0;1500012;3;0;0
0;0.327983502196718;11153;15000;161;3658;3658;988;9432.69230769231;186390;0.00530071355759429;0;0;1500012;3;0;0
1;0.345239250703679;10303;15000;131;3557;3557;988;9432.69230769231;186390;0.00530071355759429;0;0;1500013;3;55;1
0;0.334271571386975;10303;15000;265;3444;3444;988;9432.69230769231;186390;0.00530071355759429;0;0;1500013;3;0;0
0;0.320489177909347;10303;15000;138;3302;3302;988;9432.69230769231;186390;0.00530071355759429;0;0;1500013;3;0;0
0;0.346975465313029;9456;15000;255;3281;3281;988;9432.69230769231;186390;0.00530071355759429;0;0;1500014;3;0;0
1;0.335236886632826;9456;15000;290;3170;3170;988;9432.69230769231;186390;0.00530071355759429;0;0;1500014;3;50;1
0;0.317787648054145;9456;15000;280;3005;3005;988;9432.69230769231;186390;0.00530071355759429;0;0;1500014;3;0;0
1;0.335945603319119;8677;15000;175;2915;2915;988;9432.69230769231;186390;0.00530071355759429;0;0;1500015;3;46;1
0;0.334332142445546;8677;15000;266;2901;2901;988;9432.69230769231;186390;0.00530071355759429;0;0;1500015;3;0;0
0;0.329722254235335;8677;15000;216;2861;2861;988;9432.69230769231;186390;0.00530071355759429;0;0;1500015;3;0;0
